Residents,Rack Rate KES
"Honeymoon deal per person: 3 nights lodge, 1 night camping FB","66,000"
Adult 3 night deal per person FB,"66,000"
Child 3 night deal per person FB,"33,000"
Tour Guide/host Rate per night FB,"8,000"
