KENYA SHILLINGS,GREEN SEASON,HIGH SEASON,PEAK SEASON
Medina Suite - One Bedroom Suite (sleeps up to 2 guests) One Super King Double: separate living area + kitchen,"22,743","30,694","51,394"
Medina Deluxe - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + kitchen,"39,246","43,005","74,432"
Medina Penthouse - Two Bedroom Suite (sleeps up to 4 guests) One Super King Double + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,"49,008","55,606","94,678"
Medina Ocean Lodges - Luxury Three Bedroom Suite (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,"58,303","70,316","120,657"
Palmerie Beach Villa - Luxury Three Bedroom Villa (sleeps up to 6 guests) Two Super King Doubles + one Twin room: separate living area + Kitchen + roof top terrace with plunge pool,"69,703","97,208","161,475"
Ocean Villa - Luxury Four Bedroom Villa (sleeps up to 8 guests) One Super King Double + three Twin rooms: separate living area + Kitchen + roof top terrace with plunge pool,"85,000","117,403","209,917"
