PACKAGE,DAILY RATE PER PERSON,PROVISIONS
FULL BOARD,"11,000","Bed and breakfast, Buffet lunch with a soft drink, Buffet Dinner with Tea, coffee/ Milo/ chocolate. Mineral water (am &pm), 10 and 4 O'clock tea with snacks, Sweets and Mints as well as stationary (pen, note book, flip charts and stand"
HALF BOARD,"10,000","Bed, breakfast, Buffet lunch with a soft drink, Mineral water (am &pm), 10 and 4 O'clock tea with snacks, Sweets and Mints as well as stationary (pen, note book, flip charts and stand"
FULL DAY,"4,000","Buffet lunch, Mineral water (am & pm), 10 and 4 O'clock tea with snacks, Sweets and Mints as well as stationary (pen, note book, flip charts and stand)"
HALF DAY,"3,500","10 or 4 O'clock tea, Buffet Lunch and soft drink, Mineral Water, Sweets and Mints as well stationery (pen, note book, flip charts and stand)"
MAIN HALL HIRE WITHOUT MEALS,"50,000 per day",Hall Only
OTHER HALLS WITHOUT MEALS,"15,000 full day,",Hall Only
