RO O M C A TEG O RY,RO O M TYPE,BED & BREA K FA ST,H A LF BO A RD,FU LL BO A RD
Superi or,Si ngl e,"15, 000","18, 000","21 , 000"
Superi or,D oubl e,"18, 000","24, 000","30, 000"
D el uxe,Si ngl e,"1 7, 000","20, 000","23, 000"
D el uxe,D oubl e,"20, 000","26, 000","32, 000"
Superi orD el uxe,Si ngl e,"19, 000","22, 500","25, 000"
Superi orD el uxe,D oubl e,"22, 000","28, 000","34, 000"
Executi ve Sui te,Si ngl e,"25, 000","30, 000","35, 000"
Executi ve Sui te,D oubl e,"28, 000","34, 000","40, 000"
Pri va te V i l l a,M a x 6pax,"100, 000","1 15, 000","130, 000"
