0,1,2
M EA L,3-12 YRS,A D U LTS
Brea kf a st,"1 , 000","2, 500"
Lunch,"2, 000","3, 000"
D i nner,"2, 000","3, 000"
PER PERSO N,PER PERSO N,PER PERSO N
