STANDARD,PER ADULT SHARING PER NIGHT,CHILD SHARING WITH AN ADULT (3-11YRS),INCLUDED,EXCLUDED
HIGH SEASON,US$,US$,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit. Exclusive use of safari vehicle, own house team (guide, chef, waiter, and housekeeper)","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Speed boat riding, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,675,338,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit. Exclusive use of safari vehicle, own house team (guide, chef, waiter, and housekeeper)",
HIGH SEASON,540,270,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit. Exclusive use of safari vehicle, own house team (guide, chef, waiter, and housekeeper)",
LOW SEASON,450,223,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit. Exclusive use of safari vehicle, own house team (guide, chef, waiter, and housekeeper)","visit,"
LOW SEASON,360,180,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit. Exclusive use of safari vehicle, own house team (guide, chef, waiter, and housekeeper)",
