ROOMCATEGORY.DELUXETENT,PAX.1 PAX,BED&BREAKFAST HALF-BOARD FULL-BOARD.$131,BED&BREAKFAST HALF-BOARD FULL-BOARD.$163,BED&BREAKFAST HALF-BOARD FULL-BOARD.,BED&BREAKFAST HALF-BOARD FULL-BOARD.$197
,2PAX $154,,,$218,$286
1BR SUITE,1PAX,$152,$184,$218,
,2PAX $175,,,$238,$307
2BRSUITE,2PAX,$304,$367,,$435
,4PAX $343,,,$477,$614
