ROOMCATEGORY PAX.DELUXETENT,ROOMCATEGORY PAX.1 PAX,BED&BREAKFAST HALF-BOARD FULL-BOARD.$114,BED&BREAKFAST HALF-BOARD FULL-BOARD.$141,BED&BREAKFAST HALF-BOARD FULL-BOARD.,BED&BREAKFAST HALF-BOARD FULL-BOARD.$171
,2PAX,$135,$189,$248,
1BR SUITE,1PAX,$132,$160,$189,
,2PAX,$153,$208,,$268
2BRSUITE,2PAX,$264,$319,,$379
,4PAX,$305,$414,,$534
