0,1
HONEYMOON AMENITIES,"Flowers decoration, fruit basket and bottle of wine in the room upon arrival, Wedding certificate is required. Valid within 6 months from wedding date. Valid for stay with minimum 3 nights"
BIRTHDAY AMENITIES,"On the day of celebration: flowers decoration in the room, table decoration at dinner and birthday cake"
ANNIVERSARY AMENITIES,"On the day of celebration: flowers decoration in the room, table decoration at dinner"
