Valid until 10th Jan'26.MEAL PLAN,Deluxe Room.SINGLE,Deluxe Room.DOUBLE,Studio Apartment.SINGLE,Studio Apartment.DOUBLE,One Bedroom.SINGLE,One Bedroom.DOUBLE,TwoBedroom Apartment.DOUBLE,TwoBedroom Apartment.QUADRUPLE,TwoBedroomDeluxe Apartment.DOUBLE,TwoBedroomDeluxe Apartment.QUADRUPLE
BED ONLY,"9,000","11,000","11,500","13,500","14,000","16,000","21,500","25,500","25,000","29,000"
BED& BREAKFAST,"11,500","14,000","14,000","16,500","16,500","19,000","24,000","29,000","27,500","32,500"
