MEAL PLAN - HALFBOARD.SEASONS,MEAL PLAN - HALFBOARD.DATES,StandardRoom.SINGLE,StandardRoom.DOUBLE,PremiumRoom.SINGLE,PremiumRoom.DOUBLE,Deluxe Room.SINGLE,Deluxe Room.DOUBLE,Executive Suites (max 4 Pax).DOUBLE,Executive Suites (max 4 Pax).QUADRUPLE,Presidential Suite (Max 4 Persons).DOUBLE,Presidential Suite (Max 4 Persons).QUADRUPLE
SHOULDER,05 JAN - 31 JULY,"8,500","11,000","11,000","13,500","13,500","16,000","27,750","32,750","38,100","44,600"
LOW,01 AUG - 30 SEP,"7,500","10,000","10,000","12,500","12,500","15,000","26,750","31,750","37,100","43,600"
SHOULDER,01 OCT - 18 DEC,"8,500","11,000","11,000","13,500","13,500","16,000","27,750","32,750","38,100","44,600"
FESTIVE SEASON,19 DEC- 04 JAN,"18,500","23,500","22,500","27,500","25,750","32,250","52,750","60,250","70,250","76,750"
