BED &BREAKFAST.SEASONS,BED &BREAKFAST.DATES,Deluxe Room.SINGLE,Deluxe Room.DOUBLE,Executive Sea View.SINGLE,Executive Sea View.DOUBLE,Executive King Sea View.SINGLE,Executive King Sea View.DOUBLE
SHOULDER,05 JAN - 30 JUNE,"8,500","11,500","12,000","15,000","15,500","18,500"
LOW,01 AUG - 30 SEP,"7,500","10,500","11,000","14,000","14,500","17,500"
SHOULDER,01 OCT - 18 DEC,"8,500","11,500","12,000","15,000","15,500","18,500"
FESTIVE SEASON,19 DEC- 04 JAN,"22,000","25,250","25,500","28,500","29,000","32,250"
