Rate per person per night,Conservancy Fee*,Rack Rate,Total Rack,Nett 20%,Total Nett Rate
Adult (Age 16+),US$18,US$332,US$350,US$265,US$283
Child (11-15 years),US$16,US$234,US$250,US$187,US$203
Child (4-10 years,US$9,US$166,US$175,US$133,US$142
