IN,OUT,KES,Minimum Stay
12-07-24,04-08-24,"60,375",1
05-08-24,08-09-24,"96,600",2
09-09-24,10-10-24,"60,375",1
11-10-24,03-11-24,"96,600",2
04-11-24,08-12-24,"60,375",1
09-12-24,22-12-24,"78,490",2
23-12-24,12-01-25,"144,900",4
13-01-25,09-02-25,"78,490",2
10-02-25,02-03-25,"96,600",2
03-03-25,10-04-25,"78,490",1
11-04-25,27-04-25,"96,600",2
