package,Full board,Game package
"Price per per (based on 2pax sharing) KSH14,000 per person","per night KSH19,500 per person per night",person night
Dates valid: 15 October 2024 - 15 December 2024,15 October 2024 - 15 December,2024
Single occupant pays:,"KSH24,000 per night","KSH29,250 per person per night"
3 RD PERSON SHARING PAYS:,"KSH10,000 per night","KSH14,000 per night"
PRICE INCLUDES:,"Bed, Breakfast, Lunch, Dinner WIFI in public areas All Kenyan tax and levies","Bed, Breakfast, Lunch, Dinner Water, Soft Drinks, Tea/Coffee WIFI in public areas Return Transfers to/from Serena Airstrip All Kenyan tax and levies"
EXPERIENCES INCLUDED:,2 Shared Game Drives 1 Bush ) *** All activities are,per day (scheduled) Breakfast (per stay) weather permitting**
0-2 years: free 3 - 11 years:KSH 7000 per chd per (sharing with adults),night 0-2 years: free 3 - 11 years: KSH9750per chd per night (sharing with adults,CHILD policy
Children in their ownroompay 75%of the person sharing rate,Children in their ownroompay 75%of the person sharing rate,
