PARK VIEW ROOMS,HIGH SEASON 02 Jan 25- 31 Mar 25 01 July 25 - 22 Dec 25,GREEN SEASON 01 April 25- 30 June 25 (Excluding Easter Holidays),EASTER HOLIDAYS 18 April 25 - 21 April 25,FESTIVE HOLIDAYS 23 Dec 25- to 01 Jan 26
Resort Single Room,"KES. 16,200","KES. 12,938","KES. 21,600","KES. 25,200"
Resort Double Room,"KES. 21,600","KES. 17,250","KES. 28,800","KES. 33,600"
Resort Triple Room,"KES. 28,000","KES. 22,500","KES. 37,500","KES. 43,700"
Resort Junior Suite,"KES. 25,000","KES. 21,500","KES. 34,500","KES. 37,500"
